model_identifier,language,APIError,AmbiguousReasoning,Correct,CorrectProcess_IncorrectResult,Fabrication,IDK,Incorrect
deepseek-r1:8b,DE,3.56,0.00,34.16,0.00,2.85,0.71,58.72
deepseek-r1:8b,EN,2.57,0.00,12.29,0.00,0.00,0.57,84.57
deepseek-r1:8b,ES,3.56,0.00,22.65,0.00,1.94,0.00,71.84
falcon3:10b,DE,47.33,1.07,9.96,0.36,13.52,0.00,27.76
falcon3:10b,EN,15.43,4.00,69.14,8.57,0.29,0.00,2.57
falcon3:10b,ES,1.62,3.56,19.74,0.65,36.89,0.00,37.54
gemma3:12b,DE,0.00,4.98,17.44,0.00,37.37,0.00,40.21
gemma3:12b,EN,0.00,4.57,82.57,9.14,0.00,0.00,3.71
gemma3:12b,ES,0.00,5.83,16.18,0.32,39.16,0.00,38.51
gemma3n:e4b,DE,0.00,5.34,17.79,0.00,36.65,0.00,40.21
gemma3n:e4b,EN,0.00,4.29,83.71,8.57,0.00,0.00,3.43
gemma3n:e4b,ES,0.00,6.80,15.21,0.00,38.19,0.00,39.81
gpt-oss:20b,DE,0.00,3.91,20.64,0.00,37.37,0.00,38.08
gpt-oss:20b,EN,0.00,6.00,77.43,9.14,1.14,0.00,6.29
gpt-oss:20b,ES,0.00,7.44,17.15,0.00,37.22,0.00,38.19
granite3.3:8b,DE,0.00,2.85,21.00,0.00,40.21,0.00,35.94
granite3.3:8b,EN,0.00,5.71,82.00,8.57,0.29,0.00,3.43
granite3.3:8b,ES,0.00,3.88,16.83,0.00,40.13,0.00,39.16
llama3.1:8b,DE,0.00,4.27,17.08,0.71,33.45,0.00,44.48
llama3.1:8b,EN,0.00,4.86,80.00,10.00,1.14,0.00,4.00
llama3.1:8b,ES,0.00,4.85,14.24,0.32,37.22,0.00,43.37
llama3.2:3b,DE,0.00,4.63,16.37,0.00,36.30,0.00,42.70
llama3.2:3b,EN,0.00,5.71,79.14,9.43,0.86,0.00,4.86
llama3.2:3b,ES,0.00,5.83,15.53,0.00,36.25,0.00,42.39
llama3:8b,DE,0.00,6.41,33.45,2.85,24.91,0.00,32.38
llama3:8b,EN,0.00,5.71,78.00,10.00,1.71,0.00,4.57
llama3:8b,ES,0.00,6.80,17.15,0.32,34.30,0.00,41.42
phi4:14b,DE,0.00,3.20,17.79,0.00,41.64,0.00,37.37
phi4:14b,EN,0.00,4.86,83.71,8.86,0.29,0.00,2.29
phi4:14b,ES,0.00,2.59,15.53,0.00,41.75,0.00,40.13
qwen3:8b,DE,0.36,7.47,82.92,6.41,1.07,0.36,1.42
qwen3:8b,EN,0.00,8.00,84.00,5.71,0.57,0.57,1.14
qwen3:8b,ES,0.00,7.77,84.79,4.85,0.65,0.00,1.94
